"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification date"
2029413,"Setsengiin Dugang","Setsengiin Dugang","Setsengiin Dugang,Setsengin dugang",49.8,102.65,"P","PPL","MN","MN",21,NA,NA,NA,0,NA,961,"Asia/Ulaanbaatar","2012-01-17"
2029414,"Sethiltü Hudag","Sethiltu Hudag","",43.1,105.58333,"H","SPNG","MN","",14,NA,NA,NA,0,NA,1641,"Asia/Ulaanbaatar","1994-01-14"
2029415,"Setelhe Hudag","Setelhe Hudag","Kolodets Setelkhu khuduk,Setelhe Hudag",43.08306,105.57889,"H","WLL","MN","MN",14,NA,NA,NA,0,NA,1623,"Asia/Ulaanbaatar","2012-01-17"
2029416,"Serüünii Dugang","Seruunii Dugang","Seruny-dugang,Serunyy-dugang,Seruunii Dugang,Serüünii Dugang",49.06667,110.7,"P","PPL","MN","MN",11,NA,NA,NA,0,NA,1199,"Asia/Ulaanbaatar","2012-01-17"
2029417,"Serteng Uula","Serteng Uula","Gora Serteng ula,Serten Uula,Serteng Uula",47.85,105.86667,"T","MT","MN","MN",18,NA,NA,NA,0,NA,1207,"Asia/Ulaanbaatar","2012-01-17"
2029418,"Serheiin Bulag","Serheiin Bulag","Rodnik Serkhiin bulak,Serheiin Bulag",43.65,102.23333,"H","SPNG","MN","MN",14,NA,NA,NA,0,NA,1581,"Asia/Ulaanbaatar","2012-01-17"
2029419,"Sergelen","Sergelen","Sergelen",48.56667,114.08333,"P","PPLA2","MN","",6,NA,NA,NA,0,NA,745,"Asia/Choibalsan","2012-01-17"
2029420,"Sergelen","Sergelen","Sergelen,Tebshin-Shire Somon,Tubshin Shiree Suma,Tubshin shiree,Tubshin shiree sumu,Tubshin-Shire,Tuvshinshiree,Tuwshinshiree,Tübshin Shiree Suma,Tübshin shiree,Tübshin shiree sumu,Tüvshinshiree,Tüwshinshiree",46.2,111.81667,"P","PPLA2","MN","",17,NA,NA,NA,0,NA,1102,"Asia/Choibalsan","2012-01-17"
2029421,"Seren Bulag Uul","Seren Bulag Uul","",49.83333,107.16667,"T","MT","MN","",16,NA,NA,NA,0,NA,1192,"Asia/Ulaanbaatar","1994-01-14"
2029422,"Serbeng Del Oboo","Serbeng Del Oboo","Serben del' obo,Serben del’ obo,Serbeng Del Oboo,Serbeng Del Ovoo",46.13333,106.56667,"S","CARN","MN","MN",8,NA,NA,NA,0,NA,1359,"Asia/Ulaanbaatar","2012-01-17"
2029423,"Senjitiyn Tsaydam","Senjitiyn Tsaydam","Sen-chi-t'ing-ch'ai-ta-mu,Sen-chi-t’ing-ch’ai-ta-mu,Senjitiyn Tsaydam",45.43333,114.78333,"H","SWMP","MN","MN",17,NA,NA,NA,0,NA,1380,"Asia/Choibalsan","2012-01-17"
2029424,"Senjitiyn Öndör","Senjitiyn Ondor","Sen-chi-t'ing-wen-to-erh,Sen-chi-t’ing-wen-to-erh,Senjitiyn Ondor,Senjitiyn Öndör",45.45,114.73333,"T","MT","MN","MN",17,NA,NA,NA,0,NA,1504,"Asia/Choibalsan","2012-01-17"
2029425,"Senjitiyn Dov","Senjitiyn Dov","Sen-chi-t'ing-tao-pu,Sen-chi-t’ing-tao-pu,Senjitiyn Dov",45.43333,114.73333,"T","HLL","MN","CN",0,NA,NA,NA,0,NA,1425,"Asia/Choibalsan","2014-03-06"
2029426,"Senjin Tsagaan Deresene Hudag","Senjin Tsagaan Deresene Hudag","Kolodets Sendzhin-tsagan-dersene-khuduk,Sendzhin-shagan-dersene-khuduk,Senjin Tsagaan Deresene Hudag,Senjin Tsagan Dersene Khuduk",44.76667,110.8,"H","WLL","MN","MN",7,NA,NA,NA,0,NA,962,"Asia/Ulaanbaatar","2012-01-17"
2029427,"Senj","Senj","Orgon,Senj,Örgön",44.71667,110.76667,"P","PPLA2","MN","",7,NA,NA,NA,0,NA,1004,"Asia/Ulaanbaatar","2012-01-17"
2029428,"Semchin Dugang","Semchin Dugang","Semchin Dugang,Semchin-Dugan",49.25,101.58333,"P","PPL","MN","MN",13,NA,NA,NA,0,NA,1193,"Asia/Ulaanbaatar","2012-01-17"
2029429,"Selenge Suma","Selenge Suma","Selenge,Selenge Somon,Selenge Suma,Selenge Sumu",49.13333,102.98333,"P","PPL","MN","MN",21,NA,NA,NA,0,NA,1331,"Asia/Ulaanbaatar","2012-01-17"
2029430,"Selenger","Selenger","",49.11667,103.13333,"P","PPL","MN","",21,NA,NA,NA,0,NA,1259,"Asia/Ulaanbaatar","2003-05-01"
2029432,"Selenge Aymag","Selenge Aymag","Sehlehngeh,Sehlehngeh Ajmag,Seleng,Selenga Aimak,Selenga Aymag,Selenge,Selenge Aymag,Selenginskiy Aymak,Serenga Bu,Сэлэнгэ,Сэлэнгэ Аймаг",49.66667,106.41667,"A","ADM1","MN","",16,NA,NA,NA,97585,NA,918,"Asia/Ulaanbaatar","2015-05-13"
2029433,"Selenge","Selenge","Ih-Uul,Ihe uula sumu,Ikh-Ula,Ikhe Ula Sume,Ikhe-Ula,Ikhe-ula Somon,Selenge,Yihe Uula Suma,Их-Ула",49.43333,101.46667,"P","PPLA2","MN","",13,NA,NA,NA,0,NA,1053,"Asia/Ulaanbaatar","2012-01-17"
2029434,"Selemiin Uula","Selemiin Uula","Gora Selimin ula,Selemiin Uula,Selemiyn Uul,Selimin Uula",42.16667,105.3,"T","MT","MN","MN",14,NA,NA,NA,0,NA,1295,"Asia/Ulaanbaatar","2012-01-17"
2029435,"Sejin Hudag","Sejin Hudag","Sedzhin-khuduk,Sejin Hudag,Sejin Khuduk",45.46667,113.31667,"H","WLL","MN","MN",17,NA,NA,NA,0,NA,1128,"Asia/Choibalsan","2012-01-17"
2029436,"Se-hu-lin-hu-jeng-te-le","Se-hu-lin-hu-jeng-te-le","Se-hu-lin-hu-jeng-te-le,Sehuuliyn Huren Del,Sehüüliyn Hüren Del",42.48333,109.53333,"T","HLL","MN","CN",0,NA,NA,NA,0,NA,1183,"Asia/Ulaanbaatar","2014-03-06"
